,Archaea_Simpson,Archaea_Shannon,Bacteria_Simpson,Bacteria_Shannon,Fungi_Simpson,Fungi_Shannon,Denitrification_Bacteria,Denitrification_Fungi,Denitrification_Archaea,DNR_Bacteria,DNR_Fungi,DNR_Archaea
QDDryME5,0.9054235,4.20039214,0.94499192,5.82713158,0.982555137,4.390367754,662.649658,0,0,484.178098,0,0
QDDryMP1,0.62109086,2.52018423,0.93918445,4.99497779,0.984120697,4.472365543,329.345182,0.19584,0.377083,315.911537,0.204644,0.330001
QDDryMP2,0.60036658,2.39943989,0.90641014,4.73510804,0.98155693,4.444152109,270.355671,0.119896,0.477218,253.634317,0.119896,0.307857
QDDryMP3,0.64701838,2.64400224,0.93104418,4.94291656,0.984251807,4.477246205,318.92692,0.143111,0.271682,302.175659,0.143111,0.166152
QDDryMP4,0.62937168,2.5852574,0.90808414,4.71472854,0.982409494,4.459016806,427.563255,0.094407,0.372739,436.718744,0.094407,0.176346
QDDryMP5,0.62108488,2.4919774,0.86332743,4.27267593,0.982542282,4.452676507,429.646872,0.067988,0.237644,412.089692,0.067988,0.254636
QDDryMR1,0.58781716,2.57420308,0.91210467,4.73771799,0.977195689,4.383081247,281.377619,0.14499,0.818749,289.70621,0.16289,0.263926
QDDryMR2,0.58804537,2.60576662,0.83518566,4.45688745,0.977273181,4.390927917,204.999093,0.183853,0.457527,208.780696,0.183853,0.376586
QDDryMR3,0.62522322,2.77463139,0.88215576,5.03253807,0.978183571,4.419739576,294.189816,0.13967,0.634259,292.174808,0.14927,0.382312
QDDryMR4,0.63951803,2.87154959,0.84988356,4.6203315,0.980264408,4.418505868,298.086276,0.251415,0.419288,297.301367,0.261852,0.359414
QDDryMR5,0.58393278,2.52181021,0.81169505,4.04049168,0.978599848,4.386464657,295.149971,0.142937,0.475221,313.917515,0.152109,0.35554
QDDryWWTP1,0.8978527,4.25006553,0.92350987,5.2509449,0.980234542,4.343742832,274.493745,0.017317,0.527876,259.305839,0.017317,0.016443
QDDryWWTP2,0.89853441,4.24603227,0.95071121,5.50753865,0.981281938,4.34837932,265.808305,0.031429,0.343719,255.926847,0.031429,0.113264
QDDryWWTP3,0.85488013,3.93797997,0.92881543,5.44084829,0.980830528,4.354285029,340.508597,0.009744,0.345651,332.321143,0.009744,0.082612
