ID,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin
A22,-1.333753003,1.109825486,-0.383454992,-0.596872484,-0.465849266,-0.191358072,-0.593337396,-1.052897387,-0.290725988,-0.122938326,-0.946322285,-0.068497033,-0.131476312,-0.162256905
A23,-1.255748273,1.109825486,-0.623847475,-0.564354088,-0.475103578,-0.210123191,-0.784094135,-1.123500365,-0.363476208,-0.030203725,-0.909377907,0.050457406,0.010244773,-0.271769753
A24,-1.177743543,1.109825486,-0.606089951,-0.463547062,-0.468419908,-0.172592953,-0.683695851,-1.12607911,-0.351590286,-0.064915043,-1.091370053,-0.079264947,-0.124886874,-0.151157348
A25,-0.826722259,1.239129144,-0.312868834,-0.957826673,-0.263179828,-0.22888831,-0.553178083,-1.315673294,-0.744440626,-0.078342961,-1.118153795,-0.108609592,-0.09686834,-0.127717812
A26,-0.6707128,1.232663961,-0.328850606,-0.925308278,-0.226265405,-0.200740631,-0.462819628,-1.16211911,-0.96070117,-0.057351443,-1.295130214,-0.188801413,-0.157876867,-0.059169458
A27,-1.177743543,1.237512848,-0.289340115,-0.944819315,-0.265339168,-0.23827087,-0.563217911,-1.144931165,-0.631855835,-0.187016514,-1.22065211,0.004673431,-0.127868821,-0.097004686
A28,-1.177743543,1.24074544,-0.332846049,-0.931811957,-0.252897259,-0.257035989,-0.69373568,-1.227193398,-0.708009825,-0.106942525,-1.225012359,-0.095284804,-0.133023358,-0.061589322
A29,-1.138741178,1.231047666,-0.350603573,-0.90904908,-0.260095058,-0.21950575,-0.703775508,-1.224182801,-0.924529147,-0.049494702,-1.296751074,-0.193129042,-0.148694904,-0.044421227
A30,-1.411757732,1.189023977,-0.376795921,-0.90904908,-0.291868196,-0.257035989,-0.392540829,0.363909635,2.098319557,-0.402815828,-0.340843329,0.695083039,-0.059003988,0.065189159
A31,-1.411757732,1.116290669,-0.428292741,-0.925308278,-0.290531462,-0.266418548,-0.282102718,0.257168449,2.758792356,-0.389080289,0.149332945,0.658952534,0.092697885,-0.102063985
A32,-1.450760097,1.035475883,-0.269806838,-0.899293561,-0.243642947,-0.191358072,-0.502978941,2.716645594,8.026663674,-0.786131525,1.279324217,1.549947429,0.289183003,-0.104079487
A33,-1.567767192,1.014464038,-0.299550691,-0.873278845,-0.268012636,-0.200740631,-0.342341688,3.289275574,9.59828236,-0.505266501,1.400977041,1.297196839,0.384378557,-0.077361674
A34,0.109334498,-0.108861492,0.175463078,0.043739907,1.036536909,-0.198864119,-0.703775508,-0.902031724,-0.60895904,0.051507549,0.534945008,-0.384335292,0.075428544,-0.321995167
A35,0.343348688,-1.078638928,1.200738124,0.056747266,1.046819478,-0.236394358,-0.723855165,-1.23282591,-0.167553123,-0.131138118,-0.516889942,-0.119414639,-0.160179921,-0.02984132
A36,0.421353417,-0.59375021,1.535911392,0.040488068,1.046819478,-0.227011798,-0.743934821,-1.373812142,-0.395302921,0.021873689,-0.566008205,-0.37899419,-0.22220064,0.079946763
A37,0.538360512,-1.078638928,0.271131739,0.046991747,1.057102047,-0.236394358,-0.713815336,-1.140235691,-0.482592495,-0.139183224,-0.305549043,-0.088516805,-0.08319252,-0.296493061
A38,0.031329769,-0.270491064,2.217356378,0.079510142,1.046819478,-0.217629239,-0.764014478,-1.137148389,-0.350490287,-0.007883673,-0.136239636,-0.244434688,-0.031345814,-0.228094359
A39,0.226341593,-0.270491064,-0.240284955,0.186820847,0.995406633,-0.217629239,-0.653576366,-0.986949569,-0.43584046,-0.263303744,0.158422794,-0.012608801,-0.008220242,-0.539541227
A40,0.460355782,-2.048416363,-0.467803232,-0.271688529,1.005689202,-0.170716441,-0.69373568,-1.175619684,-0.229903978,-0.148191794,-0.449854765,-0.079690538,-0.10809296,-0.218842126
A41,-0.59270807,-0.432120637,0.998746288,-0.466798902,1.005689202,-0.142568762,-0.492939113,-0.987666635,-0.196969891,-0.283646621,-0.175161835,0.099230076,-0.06224396,-0.334066496
A42,-1.411757732,-1.2402685,0.270465832,-0.453791543,1.015971771,-0.208246679,-0.75397465,-1.155380113,-0.203482195,-0.130459397,-0.33455471,-0.067622217,-0.090194854,-0.242955643
A43,0.577362877,-1.725157218,0.590545203,-0.47655442,1.036536909,-0.264542036,-0.743934821,-1.151125558,-0.179077507,-0.122727891,-0.618464634,-0.008176613,-0.084830503,-0.189838131
A44,-0.007672596,0.699286372,0.389885181,-0.668412954,0.964558925,-0.18948156,-0.653576366,-1.52686056,-0.32291577,-0.072177873,-0.425867187,-0.131255639,-0.063980365,-0.186222966
A45,-0.35869388,0.860915944,0.031183195,-0.684672151,0.974841494,-0.18948156,-0.653576366,-1.371742883,0.026347462,-0.634074787,0.083895532,0.676409991,-0.070253086,-0.162316379
A46,-0.163682056,0.214397654,3.120770416,-0.697679509,0.974841494,-0.208246679,-0.623456881,-1.534906533,-0.195687582,0.042055014,-0.802038259,-0.075220251,-0.037905808,-0.002483707
A47,-0.163682056,0.214397654,1.762319824,-0.678168472,0.985124064,-0.227011798,-0.583297568,-1.385911184,-0.151575118,-0.201688893,-0.353404677,0.056965124,-0.039369749,-0.25236371
A48,-0.748717529,-0.755379782,1.649115608,-0.775723659,1.098232324,0.063847549,-0.713815336,-0.997633168,0.122516152,-0.79817311,0.745064523,0.670175681,-0.095023134,-0.310157683
A49,-0.007672596,-1.078638928,-0.422965484,-0.736701584,1.057102047,0.167055704,-0.703775508,-1.032410341,0.361250356,-1.047703569,0.901123289,0.974424284,-0.113919005,-0.192535029
A50,0.070332133,-0.270491064,1.196298743,-0.733449745,1.067384617,0.167055704,-0.764014478,-1.148894746,-0.22587823,-0.202326691,0.021862014,-0.153912355,-0.11288393,-0.244293865
A51,0.031329769,-0.270491064,0.472457668,-0.730197905,1.077667186,0.063847549,-0.653576366,-1.405962414,-0.150305649,0.018626316,-0.783195796,-0.241131009,-0.17486463,0.058876341
A52,-1.216745908,-0.108861492,0.212087971,-0.723694226,1.067384617,-0.142568762,-0.63349671,-1.147192315,0.1210765,-0.579107202,0.322438069,0.218742759,-0.268191818,0.129909321
A53,0.382351053,0.699286372,-0.503096311,0.014473351,0.728059835,-0.161333881,-0.422660314,-0.777725174,-0.185487622,-0.286721667,-0.285444908,0.045038867,-0.123756316,-0.284666602
A54,0.343348688,0.860915944,-0.492441797,-0.018045044,0.707494697,-0.170716441,-0.523058598,-0.662695343,-0.290750308,-0.284590407,-0.217114122,0.104719469,-0.076286733,-0.441133921
